"Have_IP","Have_At","URL_Length","URL_Depth","Redirection","https_Domain","TinyURL","Prefix/Suffix","DNS_Record","Web_Traffic","Domain_Age","Domain_End","iFrame","Mouse_Over","Right_Click","Web_Forwards","Num_Dots","HTTPS_Token","Suspicious_Words","Content_Length","Num_Images","Num_Scripts","Label"
0,0,32,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,1,147,1,1,1
0,1,103,2,0,1,0,0,1,0,-1,-1,0,0,0,0,4,0,0,331,1,9,1
0,0,38,3,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,54,0,7,1
0,0,40,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,450,0,3,1
0,0,39,1,0,0,0,0,1,0,-1,-1,0,0,0,0,2,0,0,450,0,3,1
0,0,34,2,0,1,0,0,0,0,-1,-1,0,0,0,0,2,0,0,0,0,0,1
0,0,26,1,1,1,0,0,1,0,-1,-1,0,0,0,0,1,0,0,14509,29,16,1
0,0,27,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,245,1,1,1
0,0,34,1,0,1,0,0,1,0,-1,-1,0,0,0,0,1,0,0,1251,0,0,1
0,0,309,3,0,1,0,0,1,0,-1,-1,0,0,0,0,3,0,0,200,0,0,1
0,0,36,0,0,0,0,0,0,0,-1,-1,0,0,0,0,2,0,0,0,0,0,1
0,0,33,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,69,0,0,1
0,0,33,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,147,1,1,1
0,0,167,5,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,160,1,0,1
0,0,38,1,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,816,5,2,1
0,0,98,1,0,1,0,0,1,0,-1,-1,0,0,0,0,4,0,0,816,5,2,1
0,0,77,1,0,1,0,1,1,0,-1,-1,0,0,0,0,2,0,0,169,2,1,1
0,0,57,1,0,1,0,0,1,0,-1,-1,0,0,0,0,3,0,0,816,5,2,1
0,0,23,1,0,1,0,0,0,0,-1,-1,0,0,0,0,2,0,0,0,0,0,1
0,0,38,2,0,1,0,0,1,0,-1,-1,0,0,0,0,2,0,0,0,0,0,1
0,0,42,1,0,1,0,0,0,0,-1,-1,0,0,0,0,2,0,0,0,0,0,1
